"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",86,0,0,0,7,2,5,10,4,0,17,0,0,0,9,0,1,2,2,8,2,2,0,1,0,5,4,0,2,2,0,0,0,0,0,0,12,3,4,6,0,4,0,0,2,0,0,4,0,1,86,0,0,0,5,5,4,6,3,0,16,0,0,0,9,0,1,2,2,6,2,1,0,1,0,4,3,0,1,3,0,0,0,0,0,0,8,3,4,4,0,4,0,0,2,0,0,4,0,1,86,0,0,0,5,7,4,6,2,8,37,0,0,0,16,0,1,2,2,2,1,1,0,1,0,4,5,0,1,7,0,0,0,0,0,0,4,3,4,4,0,5,1,0,4,0,0,4,1,1,86,0,0,0,4,8,2,6,0,15,50,0,0,0,20,0,1,2,2,2,1,1,0,1,0,3,6,0,1,8,0,0,0,0,0,0,2,3,4,4,0,5,2,0,5,0,0,4,1,0,86,0,0,0,3,8,2,2,0,16,50,0,0,0,20,0,2,2,2,2,0,1,0,0,0,2,7,0,0,8,0,0,0,0,0,0,2,3,4,0,0,5,2,0,5,0,0,4,1,0
"12",86,0,0,0,0,8,1,0,0,16,44,0,0,0,13,0,2,2,1,1,1,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,2,3,4,0,0,3,2,0,4,0,0,4,1,0,86,0,0,0,0,8,0,0,2,16,56,0,0,0,14,0,3,1,1,1,1,4,0,0,0,1,6,0,0,9,0,0,0,0,0,0,2,3,4,3,0,4,2,0,5,0,0,3,1,0,86,0,0,0,0,4,0,0,2,17,66,0,0,0,18,0,2,1,1,0,1,4,0,0,0,1,6,0,0,11,0,0,0,0,0,0,2,3,4,3,0,3,2,0,11,0,0,2,1,0,86,0,0,130,5,11,1,0,34,17,94,0,0,0,34,0,9,12,2,1,1,4,1,0,0,6,10,0,2,14,0,0,0,0,0,0,3,3,4,3,3,17,2,68,11,0,17,2,14,24,86,0,0,130,5,10,1,0,34,8,67,0,0,0,25,0,9,12,1,1,1,4,1,0,0,6,7,0,2,8,0,0,0,0,0,0,4,3,4,3,3,16,0,68,9,0,17,2,14,24
"13",86,0,0,130,5,9,1,0,34,4,62,0,0,0,27,0,9,12,2,2,1,4,1,0,0,7,4,0,2,9,0,0,0,0,0,0,4,3,4,3,3,15,0,68,9,0,17,2,14,24,86,0,0,130,5,9,1,0,34,6,77,0,0,0,31,0,9,12,5,3,1,4,1,0,0,7,7,0,2,11,0,0,0,0,0,0,3,3,4,3,3,15,0,68,15,0,17,2,14,24,86,0,0,130,5,11,1,0,34,6,80,0,0,0,32,0,9,12,7,3,0,4,1,0,0,12,7,0,2,15,0,0,0,0,0,0,3,3,4,3,3,15,0,68,16,0,17,3,14,24,86,0,0,130,7,11,2,1,35,10,75,0,0,0,34,0,10,14,9,4,0,0,4,0,0,14,8,0,2,16,0,0,0,0,0,0,5,3,4,0,7,18,0,68,15,0,17,3,16,31,86,0,0,130,10,11,1,1,36,8,69,0,0,0,32,0,12,16,9,5,0,0,4,0,0,16,8,0,2,17,0,0,0,0,0,0,6,3,4,0,9,22,0,68,8,0,17,3,18,38
"14",86,0,0,0,9,4,1,2,7,8,37,0,0,0,20,0,5,9,8,6,0,0,5,0,0,13,4,0,0,15,0,0,0,0,0,0,6,3,4,0,12,15,0,0,9,0,0,3,9,28,86,0,0,0,12,4,1,2,8,9,43,0,0,0,22,0,5,11,8,7,0,0,8,0,0,19,6,0,0,18,0,0,0,0,0,0,9,3,4,0,13,21,0,0,9,0,0,3,10,39,86,0,0,0,14,4,1,2,9,9,45,0,0,0,20,0,4,11,7,6,1,0,8,0,0,21,7,0,0,19,0,0,0,0,127,0,14,3,4,0,13,25,0,0,10,1,0,4,13,44,86,0,0,0,14,4,1,2,10,9,37,0,0,0,16,0,4,11,4,5,1,0,8,0,0,21,4,0,0,18,0,0,0,0,127,0,15,3,4,0,13,25,0,0,4,1,0,4,13,44,86,0,0,0,14,2,1,1,11,8,34,0,0,0,15,0,4,11,1,5,1,0,8,0,0,15,4,0,0,12,0,0,0,0,127,0,19,3,4,0,13,25,0,0,7,1,0,3,15,44
"15",86,0,0,0,16,2,0,4,11,6,26,0,0,0,13,0,3,7,0,4,1,1,5,0,0,13,3,0,0,9,0,0,0,0,127,0,18,3,4,0,7,18,0,0,7,1,0,3,14,30,86,0,0,0,13,2,0,13,16,6,24,0,0,0,9,0,2,5,0,4,1,3,4,0,0,11,3,0,0,8,0,0,0,0,127,0,16,3,4,0,4,14,0,0,6,1,0,3,17,23,86,0,0,0,11,0,0,19,20,5,21,0,0,0,5,0,2,3,0,3,1,5,3,0,0,10,2,0,0,6,0,0,0,0,127,0,13,3,4,0,1,10,0,0,5,1,0,4,20,16,86,0,0,0,7,0,0,22,24,4,15,0,0,0,4,0,2,1,0,2,1,5,0,1,0,7,2,0,0,7,0,0,0,0,0,0,10,3,4,0,0,1,0,0,5,1,0,3,23,1,86,0,0,0,7,0,0,22,25,4,12,0,0,0,4,2,3,1,0,2,0,5,0,1,0,7,2,0,2,6,0,0,0,0,0,0,5,3,4,0,0,1,0,0,4,0,0,3,22,1
"16",86,0,0,0,7,2,0,23,24,2,6,0,0,0,4,2,3,1,0,3,0,6,0,1,0,7,2,0,2,7,0,0,0,0,0,0,4,3,4,0,0,1,0,0,2,0,0,3,22,1,86,0,0,0,2,2,0,23,23,1,2,0,0,0,1,2,3,1,0,4,0,6,0,1,0,7,2,0,2,7,0,0,0,0,0,0,0,2,4,0,0,1,0,0,2,0,0,3,20,1,86,0,0,0,1,2,0,17,20,1,3,0,0,0,0,2,1,1,0,3,1,4,0,1,0,7,2,0,2,8,0,0,0,0,0,0,0,3,4,0,0,2,0,0,2,0,0,3,15,1,86,0,0,0,4,2,0,9,13,6,6,0,0,0,0,2,1,1,0,2,1,3,0,1,0,28,2,0,3,8,0,0,0,0,0,0,0,3,4,0,0,18,0,0,2,0,0,3,10,38,86,0,0,0,7,3,0,4,8,6,9,0,0,0,0,2,1,1,1,2,1,2,0,1,0,30,3,0,3,7,0,0,0,0,0,0,0,3,4,0,0,24,0,0,2,1,0,2,4,47
"17",86,0,0,0,7,3,1,3,8,8,27,0,0,0,6,8,3,23,2,69,1,2,300,0,0,28,2,0,2,6,0,0,0,0,0,0,0,3,4,0,183,24,0,0,3,1,0,2,13,46,86,0,0,0,9,12,1,2,5,9,35,0,0,0,9,6,3,23,4,69,19,2,300,0,0,28,2,0,2,7,0,0,0,0,0,0,0,3,4,0,184,28,5,0,4,1,0,2,14,46,86,0,0,0,40,11,1,37,6,13,53,0,0,0,18,6,3,23,9,70,19,3,300,0,0,39,2,0,2,11,0,0,0,0,0,0,0,3,4,0,184,45,18,0,5,2,0,2,14,71,86,0,0,0,41,11,1,37,6,13,52,0,0,0,18,6,3,23,9,69,19,3,300,0,0,38,2,0,2,12,0,0,0,0,0,0,0,3,4,0,184,45,18,0,4,2,0,2,14,71,86,0,0,0,39,11,1,37,5,12,50,0,0,0,18,6,4,23,9,71,18,3,300,0,0,24,3,0,1,12,0,0,0,0,0,0,0,3,4,0,184,30,18,0,5,2,0,2,14,38
"18",86,0,0,0,37,11,1,36,6,11,48,0,0,0,18,6,4,23,8,71,18,2,300,0,0,15,3,0,1,11,0,0,0,0,0,0,0,3,4,0,184,26,18,0,6,2,0,2,14,30,86,0,0,0,35,10,0,36,2,9,34,0,0,0,13,1,1,6,7,8,18,3,28,1,0,16,4,0,1,11,0,0,0,0,0,0,0,3,4,0,19,22,18,0,5,2,0,2,4,26,86,0,0,0,36,4,0,36,4,8,30,0,0,0,10,0,1,2,6,4,5,2,0,1,0,17,6,0,1,13,0,0,0,0,0,0,0,3,4,0,0,21,13,4,3,2,3,2,4,31,86,0,0,0,27,1,0,36,4,17,26,0,0,0,6,0,1,2,6,3,1,2,0,1,0,13,7,0,1,8,0,0,0,0,0,0,0,3,4,0,0,20,13,4,3,2,3,2,4,31,86,0,0,0,10,1,5,2,5,17,36,0,0,0,7,5,4,19,3,2,1,1,0,1,0,7,12,0,4,6,0,0,0,0,0,0,0,3,4,0,26,7,0,4,5,1,3,2,34,6
"19",86,0,0,0,18,2,11,4,5,18,58,0,0,0,13,13,14,38,5,0,1,1,0,1,0,8,15,0,7,6,0,0,0,0,0,0,0,3,4,0,54,10,0,4,8,1,3,2,55,7,86,0,0,0,18,10,11,4,5,16,59,0,0,0,13,13,13,39,5,0,1,2,0,1,0,9,14,0,7,8,0,0,0,0,0,0,0,3,4,0,54,10,0,4,8,1,3,2,55,7,86,0,0,0,18,11,11,3,6,16,58,0,0,0,14,13,13,39,5,0,1,1,0,1,0,4,13,0,7,6,0,0,0,127,0,0,0,3,4,0,54,11,0,4,7,0,3,2,56,7,86,0,0,0,18,11,11,3,5,16,52,0,0,0,13,13,13,39,5,0,1,1,0,0,0,4,11,0,6,9,0,0,0,127,0,0,0,3,4,0,54,10,0,0,7,0,0,2,52,7,86,0,0,0,16,13,15,3,5,14,48,0,0,0,13,14,13,38,4,1,0,1,0,0,0,3,9,0,6,9,0,0,0,127,0,0,0,3,4,0,54,8,0,0,7,0,0,2,52,2
"20",86,0,0,0,18,15,16,3,7,6,48,0,0,0,14,14,14,40,4,3,0,1,2,0,0,7,9,0,6,10,0,0,0,127,0,0,0,3,4,0,58,12,0,0,6,0,0,2,53,6,86,0,0,0,4,13,5,1,8,1,12,0,0,0,3,3,2,5,1,3,0,1,2,0,0,7,3,0,1,10,0,0,0,127,0,0,2,3,4,0,7,11,1,0,1,0,0,2,3,8,86,0,0,0,4,13,5,1,8,1,11,0,0,0,3,2,1,4,0,3,0,0,2,1,0,7,4,0,0,10,0,0,0,127,0,0,2,3,4,0,4,11,1,0,1,1,0,2,2,8,86,0,0,0,6,5,5,1,9,0,14,0,0,0,3,2,2,3,0,3,0,0,2,1,0,8,4,0,2,9,0,0,0,127,0,0,3,3,4,0,4,11,1,0,1,3,0,2,1,9,86,0,0,0,5,4,5,1,8,1,15,0,0,0,2,2,2,3,0,3,0,0,2,1,0,8,4,0,2,7,0,0,0,0,0,0,4,3,4,0,4,10,1,0,1,3,0,2,1,8
"21",86,0,0,0,5,2,5,1,8,1,15,0,0,0,2,2,2,3,0,2,0,0,2,1,0,8,4,0,2,5,0,0,0,0,0,0,4,3,4,0,4,10,1,0,1,3,0,2,1,8,86,0,0,0,5,0,1,1,8,1,16,0,0,0,2,1,2,3,0,2,1,2,2,1,0,8,3,0,2,6,0,0,0,0,0,0,4,3,4,0,4,10,1,0,1,3,0,2,1,8,86,0,0,0,3,0,0,1,7,2,12,0,0,0,0,1,2,1,0,0,2,2,0,1,0,4,3,0,2,5,0,0,0,0,0,0,4,3,4,0,0,6,1,0,1,3,0,2,0,4,86,0,0,0,2,0,0,0,5,4,8,0,0,0,0,0,2,1,0,0,2,2,0,1,0,2,1,0,2,3,0,0,0,0,0,0,3,3,4,0,0,1,0,0,0,3,0,2,0,1,86,0,0,0,1,0,0,0,4,4,10,0,0,0,2,0,2,1,0,1,2,2,0,0,0,1,1,0,2,3,0,0,0,0,0,0,3,3,4,0,0,1,0,0,0,2,0,2,0,1
"22",86,0,0,0,1,0,0,0,3,5,7,0,0,0,3,0,1,1,0,2,2,2,0,2,0,1,1,0,2,4,0,0,0,0,0,0,2,3,4,0,0,1,0,0,0,0,0,2,0,1,86,0,0,0,1,0,0,0,4,4,7,0,0,0,3,0,1,1,0,2,2,3,0,2,0,1,1,0,2,4,0,0,0,0,0,0,1,3,4,0,0,1,0,0,1,0,0,2,0,1,86,0,0,0,1,0,0,0,4,9,11,12,0,0,4,0,1,1,0,2,1,2,0,2,0,1,2,0,3,5,0,0,0,0,0,0,1,3,4,0,0,1,1,0,4,1,0,2,0,1,86,0,0,0,1,0,0,0,3,10,10,12,0,0,4,0,1,1,0,2,0,1,0,2,0,1,2,0,3,4,0,0,0,0,0,0,1,3,4,0,0,1,1,0,5,3,0,2,0,1,86,0,0,0,1,0,0,0,2,7,8,12,0,0,4,0,0,1,0,2,0,1,0,2,0,1,1,0,4,4,0,0,0,0,0,0,0,3,4,0,0,1,2,0,6,3,0,2,0,1
"23",86,0,0,0,1,0,0,0,2,7,8,12,0,0,4,0,1,1,0,1,0,1,0,2,0,1,1,0,4,4,0,0,0,0,0,0,0,3,4,0,0,1,2,0,6,3,0,2,0,1,86,0,0,0,1,0,0,0,2,7,4,12,0,0,1,0,1,1,0,1,1,2,0,2,0,0,1,0,4,3,0,0,0,0,0,0,0,3,4,0,0,1,2,0,6,3,0,2,0,1,86,0,0,0,0,0,0,0,1,6,4,12,0,0,1,0,1,1,0,0,2,2,0,0,0,4,1,0,2,2,0,0,0,0,0,0,0,3,4,0,0,0,3,0,5,3,0,2,0,0,86,0,0,0,0,0,0,0,1,6,4,12,0,0,1,0,1,1,0,0,2,1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,5,3,0,2,0,0,86,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,3,4,0,0,0,3,0,1,2,0,2,0,0
"24",86,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,3,4,0,0,0,3,0,1,0,0,2,0,0,86,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,3,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,0,4,0,0,86,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,8,0,0,1,4,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,1,0,4,0,0,86,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,8,0,0,1,5,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,1,0,4,0,0,86,0,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,4,1,0,2,5,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,1,0,4,3,0
